nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName
zRETL00302,700,445,2,Tower,RETL,Gift Shop Tower Floor 2,Gift Shop
zSTAI00102,935,242,2,Tower,STAI,Stairwell 1 Floor 2,Stairwell 0102
zSTAI00202,571,535,2,Tower,STAI,Stairwell 2 Tower Floor 2,Stairwell 0202
zSTAI00302,664,596,2,Tower,STAI,Escalator 1 Floor 2,Escalator 1 Floor 2
zELEV00L02,681,286,2,Tower,ELEV,Elevator L Floor 2,Elevator L2
zELEV00M02,700,647,2,Tower,ELEV,Elevator M Floor 2,Elevator M2
zBATH00103,679,190,3,Tower,BATH,Bathroom 1 Tower Floor 3,Bathroom 0103
zBATH00203,644,344,3,Tower,BATH,Bathroom 2 Tower Floor 3,Bathroom 0203
zDEPT00103,619,260,3,Tower,DEPT,Dialysis Waiting Room,Dialysis WR
zDEPT00203,576,190,3,Tower,DEPT,MICU 3BC Waiting Room,MICU 3BC WR
zHALL00103,214,1,3,Tower,HALL,Hallway Connector 1 Floor 3,Hallway H00103
zHALL00203,127,343,3,Tower,HALL,Hallway Connector 2 Floor 3,Hallway H00203
zHALL00303,214,343,3,Tower,HALL,Hallway Connector 3 Floor 3,Hallway H00303
zHALL00403,214,648,3,Tower,HALL,Hallway Connector 4 Floor 3,Hallway H00403
zHALL00503,575,648,3,Tower,HALL,Hallway Connector 5 Floor 3,Hallway H00502
zHALL00603,629,286,3,Tower,HALL,Hallway Connector 6 Floor 3,Hallway H00603
zHALL00703,629,260,3,Tower,HALL,Hallway Connector 7 Floor 3,Hallway H00703
zHALL00803,629,225,3,Tower,HALL,Hallway Connector 8 Floor 3,Hallway H00803
zHALL00903,629,180,3,Tower,HALL,Hallway Connector 9 Floor 3,Hallway H00903
zHALL01003,679,180,3,Tower,HALL,Hallway Connector 10 Floor 3,Hallway H01003
zHALL01103,576,180,3,Tower,HALL,Hallway Connector 11 Floor 3,Hallway H01103
zHALL01203,495,180,3,Tower,HALL,Hallway Connector 12 Floor 3,Hallway H01203
zHALL01303,495,392,3,Tower,HALL,Hallway Connector 13 Floor 3,Hallway H01303
zHALL01403,629,392,3,Tower,HALL,Hallway Connector 14 Floor 3,Hallway H01403
zHALL01503,629,344,3,Tower,HALL,Hallway Connector 15 Floor 3,Hallway H01503
zLABS00103,127,225,3,Tower,LABS,Reproductive Endocrine Labs,Reproductive Endocrine Labs
zSERV00103,643,225,3,Tower,SERV,Nursing Room,Nursing Room
zSTAI00103,575,632,3,Tower,STAI,Stairwell 1 Floor 3,Stairwell
zELEV00L03,681,286,3,Tower,ELEV,Elevator L Floor 3,Elevator L3
zELEV00M03,707,648,3,Tower,ELEV,Elevator M Floor 3,Elevator M3
zDEPT002L1,874,208,L1,Tower,DEPT,Day Surgery Family Waiting Floor L1,Department C002L1
zDEPT003L1,738,208,L1,Tower,DEPT,Day Surgery Family Waiting Exit Floor L1,Department C003L1
zHALL001L1,628,286,L1,Tower,HALL,Hallway 1 Floor L1,Hallway C001L1
zHALL005L1,649,649,L1,Tower,HALL,Hallway 5 Floor L1,Hallway C005L1
zHALL006L1,1020,649,L1,Tower,HALL,Hallway 6 Floor L1,Hallway C006L1
zHALL007L1,1020,408,L1,Tower,HALL,Hallway 7 Floor L1,Hallway C007L1
zHALL014L1,738,286,L1,Tower,HALL,Hallway 14 Floor L1,Hallway C014L1
zHALL015L1,500,285,L1,Tower,HALL,Hallway 15 Floor L1,Hallway C015L1
zLABS001L1,860,649,L1,Tower,LABS,Outpatient Fluoroscopy Floor L1,Lab C001L1
zLABS002L1,636,455,L1,Tower,LABS,Pre-Op PACU Floor L1,Lab C002L1
zREST001L1,616,381,L1,Tower,REST,Restroom L Elevator Floor L1,Restroom C001L1
zREST002L1,958,635,L1,Tower,REST,Restroom M Elevator Floor L1,Restroom C002L1
zELEV00LL1,681,286,L1,Tower,ELEV,Elevator L Floor L1,Elevator LL1
zELEV00ML1,713,649,L1,Tower,ELEV,Elevator M Floor L1,Elevator ML1
zHALL005L2,639,646,L2,Tower,HALL,Hallway 5 Floor L2,Hallway C005L2
zHALL006L2,639,372,L2,Tower,HALL,Hallway 6 Floor L2,Hallway C006L2
zHALL007L2,624,372,L2,Tower,HALL,Hallway 7 Floor L2,Hallway C007L2
zHALL008L2,624,286,L2,Tower,HALL,Hallway 8 Floor L2,Hallway C008L2
zHALL009L2,624,215,L2,Tower,HALL,Hallway 9 Floor L2,Hallway C009L2
zHALL010L2,1017,215,L2,Tower,HALL,Hallway 10 Floor L2,Hallway C010L2
zELEV00LL2,681,286,L2,Tower,ELEV,Elevator L Floor L2,Elevator LL2
zELEV00ML2,714,646,L2,Tower,ELEV,Elevator M Floor L2,Elevator ML2
zHALL001L2,639,849,L2,Tower,HALL,Hallway Connector 1 Floor L2,Hallway W01L2
zSTOR001L1,487,180,L1,Tower,STOR,OR Bed Park,Bed Park
zSTOR00101,405,286,1,Tower,STOR,West Plaza,West Plaza
zSTOR00103,430,438,3,Tower,STOR,Pod C Clean Storage,Pod C Clean
zSTOR00203,430,141,3,Tower,STOR,Pod B Clean Storage,Pod B Clean
zDIRT00103,495,286,3,Tower,DIRT,Floor 3 Dirty Pickup,Floor 3 Dirty
zSTOR00303,571,179,3,Tower,STOR,Lower Bed Park,Lower Bed Park
zSTOR00403,571,392,3,Tower,STOR,Upper Bed Park,Upper Bed Park
zPATI00103,407,223,3,Tower,PATI,Patient Room 3B31,PR3B31
zPATI00203,350,200,3,Tower,PATI,Patient Room 3B32,PR3B32
zPATI00303,331,170,3,Tower,PATI,Patient Room 3B33,PR3B33
zPATI00403,324,122,3,Tower,PATI,Patient Room 3B34,PR3B34
zPATI00503,338,83,3,Tower,PATI,Patient Room 3B35,PR3B35
zPATI00603,366,56,3,Tower,PATI,Patient Room 3B36,PR3B36
zPATI00703,408,42,3,Tower,PATI,Patient Room 3B37,PR3B37
zPATI00803,455,50,3,Tower,PATI,Patient Room 3B38,PR3B38
zPATI00903,484,68,3,Tower,PATI,Patient Room 3B39,PR3B39
zPATI01003,506,119,3,Tower,PATI,Patient Room 3B40,PR3B40
zPATI01103,408,354,3,Tower,PATI,Patient Room 3C51,PR3C51
zPATI01203,360,374,3,Tower,PATI,Patient Room 3C52,PR3C52
zPATI01303,334,409,3,Tower,PATI,Patient Room 3C53,PR3C53
zPATI01403,332,454,3,Tower,PATI,Patient Room 3C54,PR3C54
zPATI01503,344,492,3,Tower,PATI,Patient Room 3C55,PR3C55
zPATI01603,376,517,3,Tower,PATI,Patient Room 3C56,PR3C56
zPATI01703,414,534,3,Tower,PATI,Patient Room 3C57,PR3C57
zPATI01803,449,527,3,Tower,PATI,Patient Room 3C58,PR3C58
zPATI01903,489,504,3,Tower,PATI,Patient Room 3C59,PR3C59
zPATI02003,504,455,3,Tower,PATI,Patient Room 3C60,PR3C60
